Language,Response,Count,Percentage
AR # Arabic,a,4,33.33
AR # Arabic,b,2,16.67
AR # Arabic,Your Answer: a,2,16.67
AR # Arabic,c,1,8.33
AR # Arabic,"Go down twice, right twice, down once, then right to E.",1,8.33
AR # Arabic,"Start at S, go right, down, right, down, right to reach E.",1,8.33
AR # Arabic,"Start, down, right, down, right, right, up, right to end.",1,8.33
BN # Bengali,a,4,33.33
BN # Bengali,b,3,25.0
BN # Bengali,Your Answer: a,2,16.67
BN # Bengali,"Go down twice, right twice, down once, right once.",1,8.33
BN # Bengali,"Start at S, go right, down, right, down, right to reach E.",1,8.33
BN # Bengali,"Down, right, down, right, down, right, right, up, up, right.",1,8.33
DE # German,b,3,25.0
DE # German,Your Answer: a,2,16.67
DE # German,a,2,16.67
DE # German,c,1,8.33
DE # German,"Go down twice, right twice, down once, right once.",1,8.33
DE # German,"Start at S, go right, down, right, down, right to reach E.",1,8.33
DE # German,d,1,8.33
DE # German,"Down, right, down, right, up, right, down, right.",1,8.33
ES # Spanish,b,4,33.33
ES # Spanish,a,3,25.0
ES # Spanish,"Go down twice, right twice, down once, right to E.",1,8.33
ES # Spanish,Your Answer: a,1,8.33
ES # Spanish,"Start at S, go right, down, right, down, right to reach E.",1,8.33
ES # Spanish,d,1,8.33
ES # Spanish,"Go down, right, down, right, up, right, down, right to the end.",1,8.33
FA # Persian,a,4,33.33
FA # Persian,b,3,25.0
FA # Persian,"Go down, down, right, right, down, right.",1,8.33
FA # Persian,Your Answer: a,1,8.33
FA # Persian,"Start at S, go right, down, right, down, right to reach E.",1,8.33
FA # Persian,d,1,8.33
FA # Persian,"Go down, right, down, right, up, right, down, right to the end.",1,8.33
FR # French,b,4,33.33
FR # French,a,4,33.33
FR # French,"Go down twice, right twice, down once, right to E.",1,8.33
FR # French,Your Answer: a,1,8.33
FR # French,"Start at S, go right, down, right, down, right to reach E.",1,8.33
FR # French,"Down, right, down, right, right, up, right, down.",1,8.33
GA # Irish,b,4,33.33
GA # Irish,a,4,33.33
GA # Irish,"Down twice, right twice, down once, right once.",1,8.33
GA # Irish,Your Answer: a,1,8.33
GA # Irish,"Start at S, go right, down, right, down, right to reach E.",1,8.33
GA # Irish,"Down, right, down, right, up, right, down, right.",1,8.33
HE # Hebrew,a,4,33.33
HE # Hebrew,b,3,25.0
HE # Hebrew,"Down, down, right, right, down, right.",1,8.33
HE # Hebrew,Your Answer: a,1,8.33
HE # Hebrew,"Start at S, go right, down, right, down, right to reach E.",1,8.33
HE # Hebrew,d,1,8.33
HE # Hebrew,"Start, down, right, up, right, down, right, right to end.",1,8.33
HI # Hindi,b,3,25.0
HI # Hindi,a,3,25.0
HI # Hindi,Your Answer: a,2,16.67
HI # Hindi,"Down, down, right, right, down, right.",1,8.33
HI # Hindi,"Start at S, go right, down, right, down, right to reach E.",1,8.33
HI # Hindi,d,1,8.33
HI # Hindi,"Down, right, down, right, down, right, right, up, right.",1,8.33
IT # Italian,b,3,25.0
IT # Italian,a,3,25.0
IT # Italian,Your Answer: a,2,16.67
IT # Italian,"Go down twice, right twice, down once, right once.",1,8.33
IT # Italian,"Start at S, go right, down, right, down, right to reach E.",1,8.33
IT # Italian,d,1,8.33
IT # Italian,"Down, right, down, right, right, up, right, down.",1,8.33
JA # Japanese,a,5,41.67
JA # Japanese,b,2,16.67
JA # Japanese,Your Answer: a,2,16.67
JA # Japanese,"Go down twice, right twice, down once, right to E.",1,8.33
JA # Japanese,"Start at S, go right, down, right, down, right to reach E.",1,8.33
JA # Japanese,"Down, right, down, right, right, up, right, down.",1,8.33
KO # Korean,b,3,25.0
KO # Korean,Your Answer: a,2,16.67
KO # Korean,a,2,16.67
KO # Korean,c,1,8.33
KO # Korean,"Go down twice, right twice, down once, right to E.",1,8.33
KO # Korean,"Start at S, go right, down, right, down, right to reach E.",1,8.33
KO # Korean,d,1,8.33
KO # Korean,"Start, down, right, up, right, down, right, right to end.",1,8.33
LV # Latvian,a,4,33.33
LV # Latvian,b,3,25.0
LV # Latvian,Your Answer: a,2,16.67
LV # Latvian,"Go down twice, right twice, down once, right to E.",1,8.33
LV # Latvian,"Start at S, go right, down, right, down, right to reach E.",1,8.33
LV # Latvian,"Down, right, down, right, up, right, down, right.",1,8.33
PL # Polish,a,4,33.33
PL # Polish,b,3,25.0
PL # Polish,Your Answer: a,2,16.67
PL # Polish,"Go down twice, right twice, down once, right to E.",1,8.33
PL # Polish,"Start at S, go right, down, right, down, right to reach E.",1,8.33
PL # Polish,"Go down, right, down, right, up, right, down, right to the end.",1,8.33
PS # Pashto,b,4,33.33
PS # Pashto,a,4,33.33
PS # Pashto,"Go down twice, right twice, down once, right once.",1,8.33
PS # Pashto,Your Answer: a,1,8.33
PS # Pashto,"Start at S, go right, down, right, down, right to reach E.",1,8.33
PS # Pashto,"Down, right, down, right, right, up, right, down.",1,8.33
PT # Portuguese,a,4,33.33
PT # Portuguese,b,3,25.0
PT # Portuguese,"Go down twice, right twice, down once, right to E.",1,8.33
PT # Portuguese,Your Answer: a,1,8.33
